TritiumSpect	TritiumEnergy	TritiumSpectConv
8.317581402228799e-05	0.148	7.818359304714059e-05
8.319134246007607e-05	0.149	7.830445883046702e-05
8.32069453937501e-05	0.15	7.842377848359516e-05
8.322262163164007e-05	0.151	7.854156513686631e-05
8.323836999871035e-05	0.152	7.86578320332083e-05
8.32541893363174e-05	0.153	7.877259252243317e-05
8.327007850193081e-05	0.154	7.888586005555096e-05
8.328603636912706e-05	0.155	7.899764817915754e-05
8.330206182702964e-05	0.156	7.91079705298417e-05
8.331815378039265e-05	0.157	7.921684082866969e-05
8.333431114921006e-05	0.158	7.932427287569393e-05
8.335053286860106e-05	0.159	7.943028054454361e-05
8.336681788842482e-05	0.16	7.953487777704219e-05
8.338316517327313e-05	0.161	7.963807857791143e-05
8.339957370220563e-05	0.162	7.973989700950411e-05
8.341604246839618e-05	0.163	7.984034718662904e-05
8.343257047912151e-05	0.164	7.993944327140769e-05
8.344915675546537e-05	0.165	8.00371994682241e-05
8.346580033216939e-05	0.166	8.013363001871107e-05
8.34825002572855e-05	0.167	8.022874919683332e-05
8.349925559219553e-05	0.168	8.03225713040083e-05
8.351606541129937e-05	0.169	8.041511066432754e-05
8.353292880183704e-05	0.17	8.050638161981671e-05
8.354984486368988e-05	0.171	8.059639852580087e-05
8.356681270921391e-05	0.172	8.068517574630965e-05
8.358383146310868e-05	0.173	8.077272764958919e-05
8.360090026215475e-05	0.174	8.085906860365611e-05
8.361801825502484e-05	0.175	8.094421297196181e-05
8.363518460222181e-05	0.176	8.102817510909862e-05
8.365239847578605e-05	0.177	8.111096935661955e-05
8.366965905921518e-05	0.178	8.119261003889912e-05
8.368696554723185e-05	0.179	8.12731114591111e-05
8.370431714565129e-05	0.18	8.135248789525126e-05
8.372171307125706e-05	0.181	8.143075359627119e-05
8.373915255147954e-05	0.182	8.150792277826391e-05
8.375663482445745e-05	0.183	8.158400962076012e-05
8.377415913878327e-05	0.184	8.165902826307653e-05
8.379172475324075e-05	0.185	8.173299280077635e-05
8.380933093684929e-05	0.186	8.180591728218077e-05
8.382697696859236e-05	0.187	8.18778157049954e-05
8.384466213731396e-05	0.188	8.19487020129873e-05
8.386238574156886e-05	0.189	8.201859009277628e-05
8.38801470894132e-05	0.19	8.20874937706775e-05
8.389794549837244e-05	0.191	8.21554268096596e-05
8.39157802952674e-05	0.192	8.222240290635247e-05
8.393365081601776e-05	0.193	8.228843568817195e-05
8.395155640556803e-05	0.194	8.235353871049192e-05
8.396949641775923e-05	0.195	8.241772545393463e-05
8.398747021521236e-05	0.196	8.24810093217094e-05
8.400547716907204e-05	0.197	8.254340363706541e-05
8.402351665903697e-05	0.198	8.260492164079417e-05
8.404158807320205e-05	0.199	8.266557648884671e-05
8.405969080788171e-05	0.2	8.272538124999789e-05
8.407782426747261e-05	0.201	8.278434890362546e-05
8.409598786445747e-05	0.202	8.284249233753407e-05
8.411418101916858e-05	0.203	8.289982434589515e-05
8.413240315971563e-05	0.204	8.295635762722975e-05
8.41506537219116e-05	0.205	8.301210478250519e-05
8.416893214904126e-05	0.206	8.30670783132741e-05
8.418723789190141e-05	0.207	8.312129061992685e-05
8.420557040861899e-05	0.208	8.317475399998385e-05
8.422392916447756e-05	0.209	8.322748064650103e-05
8.424231363197905e-05	0.21	8.32794826465115e-05
8.426072329058655e-05	0.211	8.333077197958077e-05
8.42791576267276e-05	0.212	8.338136051639848e-05
8.429761613356941e-05	0.213	8.34312600174767e-05
8.431609831105879e-05	0.214	8.348048213188684e-05
8.433460366579711e-05	0.215	8.352903839610153e-05
8.435313171082063e-05	0.216	8.357694023287162e-05
8.437168196565921e-05	0.217	8.362419895020779e-05
8.439025395620037e-05	0.218	8.367082574039336e-05
8.440884721452761e-05	0.219	8.371683167910225e-05
8.442746127896035e-05	0.22	8.376222772454533e-05
8.444609569378595e-05	0.221	8.380702471671887e-05
8.446475000936581e-05	0.222	8.385123337667979e-05
8.448342378194875e-05	0.223	8.389486430592228e-05
8.450211657357341e-05	0.224	8.393792798577757e-05
8.452082795200467e-05	0.225	8.39804347769138e-05
8.453955749069099e-05	0.226	8.402239491885572e-05
