,584,592,598,608,610,614,624,626,628,632,640,648,658,660,662,672,678,680,688,690,694,Cut,DS,Module,Percentage,Range,SubDS
3,178.656123959,127.744558092,150.022203997,131.388822451,133.177194225,136.347769193,124.504287995,130.350078307,141.374983768,151.128969152,138.402783225,176.995644434,132.536837532,163.467402336,150.180324012,0,143.003237381,132.373380658,114.484282185,119.504043062,121.134880363,fitSlo,5,1,95,Peak,11
4,270.244009893,178.438334521,227.97360746,192.620038324,195.066133184,190.114696166,215.026652646,187.364266116,212.679863038,206.175619364,214.318839364,282.024027545,193.819712697,203.86652394,217.160155751,0,202.426089544,199.039153027,170.842514857,159.180520001,163.100232149,fitSlo,5,1,99,Peak,11
0,66.4721324146,57.2017378826,55.4546812398,44.9856867829,55.6971847583,65.5683795475,44.6343958618,56.2864808137,76.3445031111,50.9440079422,53.5336626869,51.2801095146,58.0228374233,98.4003663857,53.8136561418,0,57.1561025632,54.4816975846,52.218736123,47.4541737823,49.2944506379,fitSlo,5,1,1,Continuum,11
1,81.7840173777,67.3334406269,65.3326642275,61.0302564177,66.1949960853,84.319315692,58.2773996825,69.1065348548,92.9632330868,65.054085068,63.9871411972,64.4635107096,69.0802294207,110.645604455,69.9579025237,0,67.869186432,73.8631798113,67.3336842284,60.0646551555,69.8196140835,fitSlo,5,1,5,Continuum,11
2,445.206151883,574.622168307,204.3681352,239.356949046,420.449095164,481.357111744,862.637143463,589.978690676,1251.2476785,194.656364714,621.265685229,186.64432118,606.280823572,241.179842271,389.00690385,0,390.746684417,544.405295067,473.034907216,648.588961587,431.018820166,fitSlo,5,1,90,Continuum,11
3,572.892976366,735.932009685,274.276794723,362.107572156,582.506705863,625.808767968,1164.29911683,805.825496962,1648.04550286,269.809904666,815.607694579,290.176901518,827.585877625,379.768725572,509.321566452,0,545.290874484,789.769825907,789.848223465,839.80395948,681.163790839,fitSlo,5,1,95,Continuum,11
4,759.645303042,1045.69943988,580.227294831,629.428466538,897.365792542,871.817782047,1636.31817495,1145.68461883,2183.02498942,476.632446612,1174.57911672,618.006803853,1207.67717695,680.021963025,739.577212679,0,875.557925369,1191.74680144,1260.36354512,1260.80408867,1553.96361344,fitSlo,5,1,99,Continuum,11
0,1.46273277766,1.35691098539,1.40628113547,1.57772890485,1.48608625156,1.14988525281,1.63605660287,1.43631062755,1.54706215105,1.73536058088,1.30812283312,1.34647712771,1.2688474942,1.23356509027,1.52617381764,0,1.41478045003,1.37151775879,1.42600106658,1.49853280873,1.38591747791,riseNoise,5,1,1,Peak,11
1,1.61683209886,1.5733526075,1.60333017152,1.82252367276,1.69474263202,1.41842318852,1.87062772991,1.69323911187,1.7005336586,1.9045933085,1.56466211086,1.5547938632,1.51890371571,1.37873428886,1.71391496346,0,1.55974761303,1.57601854948,1.66086678117,1.70042454526,1.66345726677,riseNoise,5,1,5,Peak,11
2,2.3595052163,2.51972339297,2.58672729514,2.9986086998,2.6282551913,2.37423618002,3.16272368803,2.8220684585,2.79467749969,3.14835530162,2.47021244453,2.47679247413,2.35186268778,1.93634018367,2.74500518778,0,2.33374620502,2.38219464231,2.77968612537,2.55649192006,2.82407820203,riseNoise,5,1,90,Peak,11
3,2.49113171983,2.69372988377,2.78123525335,3.24420607351,2.81301781391,2.66748220667,3.40734786338,3.0536553638,3.0528914273,3.42346407846,2.65922969592,2.71708864361,2.49911567753,2.03962682618,2.98550209093,0,2.46169548367,2.53315106193,3.00493024031,2.73401741252,3.09682412182,riseNoise,5,1,95,Peak,11
4,2.74753586815,3.04466168393,3.21160143641,3.75172047213,3.1714241817,3.43495018919,3.95077097435,3.49575300966,3.61026176324,3.98522662686,3.07324633118,3.36455957825,2.81763716608,2.28346848737,3.46104694577,0,2.74028455342,2.81399021296,3.43099440953,3.07189599688,3.58605107692,riseNoise,5,1,99,Peak,11
0,0.973534338642,0.897910188453,0.923945042768,1.01817086667,0.962700970322,0.828291914274,1.04969243426,0.990377971311,1.03076158005,1.09645280855,0.88011605975,0.893112617343,0.876521253078,0.904315633232,0.995552513725,0,0.894878092312,0.878272376845,0.933000623112,0.968325849868,0.944121516048,riseNoise,5,1,1,Continuum,11
1,1.05832846998,0.999654834325,1.03534126113,1.12854342264,1.05785268824,0.953692382815,1.17149613544,1.11498222095,1.14280152223,1.21002094026,0.98716589322,0.987566459806,0.961551762105,0.98333200945,1.11182033791,0,0.975759095823,0.973868846389,1.04962904165,1.06435059789,1.08425766029,riseNoise,5,1,5,Continuum,11
2,1.66887628448,1.74702113718,1.94776982832,2.19394517816,1.82343564316,1.91056762471,2.40465360664,2.15917710932,2.25452179355,2.42204527926,1.69703424957,1.74797758596,1.65279115877,1.47414269827,2.08096300468,0,1.5973710486,1.65877895582,2.02471330455,1.85614229165,2.19319408624,riseNoise,5,1,90,Continuum,11
3,1.80012677501,1.91504692222,2.14420132787,2.44132533398,1.99189302132,2.27318397957,2.71945317226,2.38883984394,2.52574524512,2.70007689061,1.9431240271,2.08919827339,1.80262077985,1.57281289396,2.31130146582,0,1.73155349082,1.82488524374,2.2464840095,2.04010722988,2.44156546384,riseNoise,5,1,95,Continuum,11
4,2.05225400597,2.26039024077,2.5717587217,2.87936641548,2.36262871139,3.10117540658,3.31293120592,2.91093728813,3.0705591893,3.28095685318,2.52908922343,2.83905958118,2.07545143037,1.78459282615,2.79431645825,0,2.07894168788,2.17045757464,2.74462872445,2.38196853212,3.01217401863,riseNoise,5,1,99,Continuum,11
