,578,580,582,592,598,600,608,610,614,624,626,632,640,648,664,672,678,690,692,694,Cut,DS,Module,Percentage,Range,SubDS
1,66.5909308259,110.559505875,74.6853628436,84.0326822041,69.8071983852,72.7375286792,65.6415546128,67.6346688681,84.370844324,60.0840519659,67.1138160605,67.6487808615,66.1363679585,66.0931770275,82.661541301,69.264422759,66.2286441032,60.6201638081,63.1552840543,70.7604425894,fitSlo,3,1,5,Continuum,6
2,587.13096262,270.170327535,381.768628894,636.431966724,382.956086855,546.307138207,252.894136354,444.82637316,476.740519172,899.715886147,668.732862798,195.776107521,655.837475278,183.659795075,429.67030904,601.750511793,208.472787447,666.97623665,506.069598216,425.253965495,fitSlo,3,1,90,Continuum,6
3,810.626736513,453.174297942,508.960103937,841.64269937,564.067907474,807.689305134,392.085222116,594.567143345,603.873521723,1219.17050168,864.095569552,265.836704251,823.239851295,289.735540204,556.345568053,787.523551018,296.090930604,860.662053623,773.285600234,633.414196697,fitSlo,3,1,95,Continuum,6
4,1192.5698673,699.213320516,737.5628104,1201.86563374,902.211617824,1223.97598384,676.969219393,903.604155723,876.555989809,1621.59447529,1184.90456667,486.370898908,1167.18886719,672.851235356,709.507805638,1093.61436282,589.69036018,1164.40768733,1260.56471649,1448.81059509,fitSlo,3,1,99,Continuum,6
0,1.30563382023,1.29932068618,1.57099217651,1.29062482134,1.46470158886,1.46142738992,1.5611820404,1.46486518267,1.33202644326,1.61830403654,1.53310013724,1.67318127776,1.43878576286,1.37293464596,1.39705784759,1.41797879121,1.36268802996,1.39003610082,1.46123978285,1.37023628971,riseNoise,3,1,1,Peak,6
1,1.53261258323,1.41486008335,1.72652949534,1.51527199096,1.60661156055,1.62571831713,1.78921349183,1.67795716393,1.46029716085,1.82368952214,1.68415658152,1.81063642471,1.60152911168,1.55994221233,1.55593255404,1.57729779406,1.52161730881,1.61009864628,1.66331458451,1.64621391756,riseNoise,3,1,5,Peak,6
2,2.188351055,1.84924707508,2.38964423349,2.28281648716,2.26899600565,2.24473207282,2.60630654168,2.39942572907,2.24344589127,2.6654569989,2.34893331295,2.63226502013,2.35461598074,2.33981258559,2.14440130507,2.26460448334,2.20698736075,2.29862767107,2.4900670707,2.32171607161,riseNoise,3,1,90,Peak,6
3,2.28378530763,1.91524509869,2.50005382319,2.46087016975,2.37677311242,2.33456905924,2.73741873092,2.50531939731,2.5513378773,2.79740453244,2.44329010039,2.77019744189,2.48013045892,2.49773952018,2.25644354209,2.36589610163,2.3106802403,2.39969806363,2.68826896185,2.41764412407,riseNoise,3,1,95,Peak,6
4,2.47683630098,2.07398320222,2.76293379867,3.56850551996,2.67197067743,2.64387082981,3.0468057674,2.74950541257,3.27214746162,3.1133081164,2.68848937114,3.09068748071,2.82221059605,3.08932872275,2.44258778771,2.62404619763,2.57768940514,2.84461618346,2.99468452921,2.71913228896,riseNoise,3,1,99,Peak,6
0,0.877622884675,0.903446959868,0.963468906228,0.913376731987,0.889878484803,0.906992889847,0.951714856045,0.924966345868,0.82071403429,0.96207952997,0.93047793218,1.02020404279,0.881914670741,0.883597492564,0.911948196737,0.892294273754,0.892666447467,0.923296031864,0.930773669749,0.900580645116,riseNoise,3,1,1,Continuum,6
