,1106,1110,1120,1124,1128,1170,1172,1174,1176,1204,1208,1298,1302,1330,1332,Cut,DS,Module,Percentage,Range,SubDS
6,357.587594394,0,337.452190399,332.521512822,322.581187066,341.856517284,327.972222153,467.65865321,362.094212232,274.459566609,370.686749409,499.200672155,495.33439322,414.972436845,0,bcMax,5,2,Median,Continuum,11
0,0.38144796121,0,0.395959821538,0.429096510464,0.401573595393,0.347530432524,0.408261088861,0.294107048378,0.349909027819,0.50763615611,0.362601052184,0.244078603527,0.268067949844,0.291671507745,0,noiseWeight,5,2,1,Peak,11
1,0.44892253503,0,0.426458973729,0.48188323126,0.429733925333,0.385863379904,0.45052376985,0.363150924264,0.407027193414,0.536227253826,0.424690001398,0.308933446108,0.323357225305,0.344417418978,0,noiseWeight,5,2,5,Peak,11
2,0.594130012186,0,0.604527526541,0.63877219184,0.596727415891,0.543968143417,0.640938046835,0.543090780201,0.610880893839,0.734557069838,0.621305007242,0.500835695658,0.559239134189,0.517086507764,0,noiseWeight,5,2,90,Peak,11
3,0.614866100726,0,0.638181763442,0.6598398017,0.624833065579,0.571760773229,0.667236116187,0.564282943928,0.6344672724,0.758862850801,0.644115463495,0.520562740642,0.576101413217,0.538802700238,0,noiseWeight,5,2,95,Peak,11
4,0.66434745486,0,0.701836981264,0.705152817322,0.689574484316,0.630130267684,0.715536323032,0.608941316348,0.682074801478,0.826557463897,0.689346929186,0.553732108315,0.607261004886,0.58537033166,0,noiseWeight,5,2,99,Peak,11
5,1.0,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,noiseWeight,5,2,Mode,Peak,11
6,0.53461015174,0,0.520561509776,0.568947947398,0.520555960035,0.477232365745,0.555703110888,0.464980335424,0.520130580039,0.641016685921,0.536255059885,0.440167952237,0.491745394428,0.450331837366,0,noiseWeight,5,2,Median,Peak,11
0,0.444727790788,0,0.553532075096,0.576674404242,0.603695845573,0.441318930364,0.514057868492,0.30339201039,0.412257645205,0.786024333456,0.414720452939,0.278983142126,0.277648006275,0.343608663693,0,noiseWeight,5,2,1,Continuum,11
1,0.564025849671,0,0.616716265961,0.648549744402,0.673462994828,0.555308100404,0.618954558933,0.41405691069,0.543536043313,0.833325637532,0.530316877519,0.354415859681,0.347539583555,0.413127273478,0,noiseWeight,5,2,5,Continuum,11
2,0.82914085483,0,0.869610008778,0.829931089966,0.906629963257,0.817934489615,0.858010632794,0.667222621263,0.804158059646,1.02041575487,0.804956318788,0.632969678705,0.612701155395,0.739796032846,0,noiseWeight,5,2,90,Continuum,11
3,0.855068792085,0,0.897002906432,0.850093123287,0.936898428489,0.842901466194,0.877596509311,0.699175575025,0.831961563175,1.04675835105,0.833445887384,0.657917199091,0.63501029725,0.765467325408,0,noiseWeight,5,2,95,Continuum,11
4,0.900054871256,0,0.950846825604,0.888185514485,1.01523055554,0.884318987109,0.913516852016,0.761676957109,0.890721544861,1.13434267628,0.894912131631,0.693058329958,0.672660224297,0.816060383742,0,noiseWeight,5,2,99,Continuum,11
5,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,noiseWeight,5,2,Mode,Continuum,11
6,0.725871543861,0,0.770361979888,0.763134021999,0.81985181034,0.725916050015,0.775467261273,0.560048071904,0.703508071247,0.949062234877,0.697773787081,0.548723744146,0.530499753549,0.630344116731,0,noiseWeight,5,2,Median,Continuum,11
0,0.890548706546,0,0.885182972649,0.878709194512,0.880038128436,0.886904013561,0.880350417756,0.883888979914,0.878399004255,0.871791371021,0.884461829863,0.8974132636,0.891522966102,0.89749109357,0,bcTime,5,2,1,Peak,11
